number of threads, number of stars, time elapsed
8, 3346, 131872.000000
8, 3315, 134161.000000
8, 3284, 125161.000000
8, 3240, 130497.000000
8, 3203, 121121.000000
8, 3170, 113023.000000
8, 3132, 117876.000000
8, 3096, 112901.000000
8, 3071, 111753.000000
8, 3045, 109470.000000
8, 3614, 150013.000000
8, 3580, 149478.000000
8, 4108, 193318.000000
8, 4027, 177116.000000
8, 3964, 178443.000000
8, 3900, 173331.000000
8, 3847, 168627.000000
8, 3798, 160690.000000
8, 3743, 159199.000000
8, 3704, 156277.000000
8, 3659, 152390.000000
8, 3607, 145782.000000
8, 3569, 140289.000000
8, 3530, 142896.000000
8, 3487, 150183.000000
8, 3459, 161960.000000
8, 3416, 134677.000000
8, 3376, 130052.000000
8, 3350, 126706.000000
8, 3314, 130629.000000
8, 3286, 133520.000000
8, 3931, 173350.000000
8, 3901, 173422.000000
8, 3870, 171155.000000
8, 3832, 162075.000000
8, 3796, 161777.000000
8, 3767, 160486.000000
8, 3734, 156895.000000
8, 3708, 155522.000000
8, 4387, 213829.000000
8, 4351, 204658.000000
8, 4313, 206821.000000
8, 4278, 208695.000000
8, 4256, 208581.000000
8, 4222, 199807.000000
8, 4185, 198510.000000
8, 4152, 194955.000000
8, 4124, 193696.000000
8, 4089, 189291.000000
8, 4060, 180686.000000
8, 4027, 187364.000000
8, 4004, 176304.000000
8, 3970, 176557.000000
8, 3947, 177632.000000
8, 3926, 175022.000000
8, 3904, 177417.000000
8, 3875, 166720.000000
8, 3854, 175082.000000
8, 3838, 191665.000000
8, 3819, 163553.000000
8, 3794, 162398.000000
8, 3769, 167280.000000
8, 3746, 166113.000000
8, 3726, 153724.000000
8, 3694, 153017.000000
8, 3670, 147890.000000
8, 3657, 148649.000000
8, 3637, 146192.000000
8, 3611, 145130.000000
8, 3592, 143114.000000
8, 3575, 151026.000000
8, 3560, 141729.000000
8, 3540, 141949.000000
8, 3530, 140554.000000
8, 3514, 138159.000000
8, 4059, 187241.000000
8, 4027, 180375.000000
8, 3999, 175687.000000
8, 3971, 175998.000000
8, 3937, 176905.000000
8, 3908, 169510.000000
8, 3882, 172176.000000
8, 3859, 179446.000000
8, 3830, 189625.000000
8, 3803, 165668.000000
8, 3778, 161015.000000
8, 3753, 161604.000000
8, 3734, 157086.000000
8, 3707, 154440.000000
8, 3687, 159841.000000
8, 4249, 204768.000000
8, 4199, 193069.000000
8, 4165, 190877.000000
8, 4131, 189645.000000
8, 4099, 186408.000000
8, 4060, 186577.000000
8, 4014, 181183.000000
8, 3979, 172627.000000
8, 3953, 172732.000000
8, 4775, 246756.000000
8, 4724, 246240.000000
8, 4687, 243220.000000
8, 4649, 232767.000000
8, 4611, 229957.000000
8, 4566, 229235.000000
8, 5194, 294392.000000
8, 5142, 287105.000000
8, 5088, 291266.000000
8, 5056, 288072.000000
8, 5008, 277909.000000
8, 4968, 269280.000000
8, 4937, 268939.000000
8, 4899, 260943.000000
8, 4861, 260798.000000
8, 4821, 252362.000000
8, 4772, 246580.000000
8, 5559, 348351.000000
8, 5499, 352019.000000
8, 5457, 329770.000000
8, 5417, 317010.000000
8, 5368, 315231.000000
8, 5319, 309043.000000
8, 5280, 298364.000000
8, 5239, 296255.000000
