number of threads, number of stars, time elapsed
1, 64, 9024.000000
1, 64, 9014.000000
1, 64, 9009.000000
1, 64, 9013.000000
1, 63, 8827.000000
1, 63, 8630.000000
1, 62, 8774.000000
1, 62, 8760.000000
1, 62, 8760.000000
1, 62, 8789.000000
1, 62, 8528.000000
1, 62, 8627.000000
1, 62, 8627.000000
1, 62, 8572.000000
1, 62, 8831.000000
1, 62, 8389.000000
1, 62, 8539.000000
1, 62, 8538.000000
1, 62, 8577.000000
1, 62, 8566.000000
1, 62, 8528.000000
1, 62, 8375.000000
1, 62, 8552.000000
1, 62, 8533.000000
1, 62, 8523.000000
1, 62, 8541.000000
1, 62, 8539.000000
1, 62, 8580.000000
1, 61, 8529.000000
1, 60, 8550.000000
1, 60, 8528.000000
1, 60, 8544.000000
1, 60, 8539.000000
1, 60, 8544.000000
1, 60, 8583.000000
1, 60, 8570.000000
1, 60, 8562.000000
1, 60, 8670.000000
1, 60, 8575.000000
1, 60, 8584.000000
1, 60, 8627.000000
1, 60, 8609.000000
1, 60, 8576.000000
1, 60, 8385.000000
1, 60, 8409.000000
1, 60, 8384.000000
1, 60, 8402.000000
1, 60, 8384.000000
1, 60, 8351.000000
1, 60, 8378.000000
1, 60, 8369.000000
1, 60, 8540.000000
1, 59, 8346.000000
1, 59, 8390.000000
1, 59, 8541.000000
1, 59, 8574.000000
1, 59, 8558.000000
1, 59, 8556.000000
1, 59, 8557.000000
1, 59, 8576.000000
1, 59, 8548.000000
1, 59, 8386.000000
1, 59, 8388.000000
1, 59, 8366.000000
1, 59, 8392.000000
1, 59, 8417.000000
1, 59, 8523.000000
1, 59, 8432.000000
1, 59, 8421.000000
1, 59, 8384.000000
1, 58, 8398.000000
1, 58, 8553.000000
1, 58, 8570.000000
1, 58, 8565.000000
1, 58, 8557.000000
1, 58, 8564.000000
1, 58, 8567.000000
1, 58, 8412.000000
1, 57, 8378.000000
1, 57, 8385.000000
1, 57, 8374.000000
1, 57, 8386.000000
1, 57, 8375.000000
1, 57, 8393.000000
1, 56, 8374.000000
1, 56, 8389.000000
1, 56, 8633.000000
1, 56, 8536.000000
1, 56, 8539.000000
1, 56, 8557.000000
1, 56, 8650.000000
1, 56, 8547.000000
1, 56, 8548.000000
1, 56, 8398.000000
1, 56, 8580.000000
1, 56, 8374.000000
1, 56, 8382.000000
1, 56, 8373.000000
1, 56, 8386.000000
1, 55, 8491.000000
1, 55, 8567.000000
1, 55, 8379.000000
1, 55, 8430.000000
1, 55, 8412.000000
1, 55, 8380.000000
1, 55, 8387.000000
1, 55, 8386.000000
1, 55, 8770.000000
1, 55, 8745.000000
1, 55, 8761.000000
1, 55, 8746.000000
1, 55, 8600.000000
1, 55, 8618.000000
1, 55, 8594.000000
1, 55, 8594.000000
1, 55, 8597.000000
1, 55, 8634.000000
1, 55, 8623.000000
1, 55, 8609.000000
1, 55, 8645.000000
1, 55, 8564.000000
1, 55, 8299.000000
1, 55, 8504.000000
1, 55, 8521.000000
1, 55, 8498.000000
1, 55, 8411.000000
1, 55, 8337.000000
1, 55, 8337.000000
1, 55, 8355.000000
1, 55, 8330.000000
1, 55, 8370.000000
1, 55, 8366.000000
1, 55, 8333.000000
1, 55, 8338.000000
1, 55, 8339.000000
1, 55, 8342.000000
1, 55, 8348.000000
1, 55, 8336.000000
1, 55, 8335.000000
1, 55, 8362.000000
1, 55, 8354.000000
1, 55, 8332.000000
1, 55, 8349.000000
1, 55, 8338.000000
1, 55, 8334.000000
1, 55, 8335.000000
1, 55, 8337.000000
1, 55, 8343.000000
1, 55, 8351.000000
1, 55, 8334.000000
1, 55, 8332.000000
1, 55, 8337.000000
1, 55, 8350.000000
1, 55, 8331.000000
1, 54, 8665.000000
1, 741, 25311.000000
1, 731, 24508.000000
1, 727, 24312.000000
1, 719, 23771.000000
1, 712, 23765.000000
1, 709, 23344.000000
1, 701, 23029.000000
1, 693, 22688.000000
1, 683, 22281.000000
1, 679, 22088.000000
1, 671, 21899.000000
1, 669, 21822.000000
1, 662, 21556.000000
1, 661, 21566.000000
1, 658, 21377.000000
1, 654, 21215.000000
1, 648, 20975.000000
1, 645, 20864.000000
1, 642, 20955.000000
1, 635, 22741.000000
1, 633, 22118.000000
1, 633, 21310.000000
1, 627, 20830.000000
1, 625, 20458.000000
1, 623, 20078.000000
1, 619, 19937.000000
1, 616, 19708.000000
1, 612, 19617.000000
1, 607, 19453.000000
1, 605, 19510.000000
1, 599, 19624.000000
1, 595, 19493.000000
1, 591, 18916.000000
1, 589, 18705.000000
1, 588, 18671.000000
1, 583, 18490.000000
1, 578, 18344.000000
1, 577, 18289.000000
1, 575, 18228.000000
1, 569, 17997.000000
1, 567, 17928.000000
1, 565, 17890.000000
1, 563, 17832.000000
1, 562, 17790.000000
1, 560, 17816.000000
1, 558, 17715.000000
1, 555, 17578.000000
1, 553, 17501.000000
1, 547, 17363.000000
1, 546, 17273.000000
1, 543, 17221.000000
1, 542, 17230.000000
1, 539, 17070.000000
1, 537, 17044.000000
1, 535, 17004.000000
1, 533, 16915.000000
1, 531, 16843.000000
1, 528, 16739.000000
1, 525, 16599.000000
1, 524, 16613.000000
1, 522, 16609.000000
1, 522, 16581.000000
1, 518, 16427.000000
1, 515, 16365.000000
1, 512, 16199.000000
1, 510, 16130.000000
1, 510, 16155.000000
1, 508, 16056.000000
1, 506, 16031.000000
1, 505, 16014.000000
1, 499, 15847.000000
1, 496, 15722.000000
1, 495, 15697.000000
1, 494, 15668.000000
1, 492, 15594.000000
1, 492, 15618.000000
1, 488, 15512.000000
1, 487, 15442.000000
1, 487, 15460.000000
1, 485, 15440.000000
1, 485, 15754.000000
1, 482, 15343.000000
1, 481, 15275.000000
1, 479, 15231.000000
1, 479, 15226.000000
1, 478, 15207.000000
1, 475, 15123.000000
1, 475, 15136.000000
1, 473, 15049.000000
1, 472, 15083.000000
1, 470, 14982.000000
1, 467, 14880.000000
1, 466, 14896.000000
1, 465, 14894.000000
1, 464, 14791.000000
1, 463, 14812.000000
1, 457, 14630.000000
1, 457, 14600.000000
1, 457, 14612.000000
1, 457, 14624.000000
1, 457, 14628.000000
1, 455, 14559.000000
1, 453, 14535.000000
1, 453, 14536.000000
1, 452, 14480.000000
1, 452, 14504.000000
1, 452, 14487.000000
1, 451, 14443.000000
1, 449, 14458.000000
1, 448, 14409.000000
1, 447, 14395.000000
1, 446, 14327.000000
1, 445, 14323.000000
1, 444, 14263.000000
1, 444, 14290.000000
1, 444, 14301.000000
1, 443, 14244.000000
1, 443, 14272.000000
1, 442, 14227.000000
1, 441, 14193.000000
1, 440, 14167.000000
1, 438, 14093.000000
1, 437, 14099.000000
1, 436, 14050.000000
1, 436, 14066.000000
1, 436, 14022.000000
1, 436, 14053.000000
1, 436, 14064.000000
1, 435, 14103.000000
1, 434, 14041.000000
1, 434, 14001.000000
1, 433, 14040.000000
1, 433, 14210.000000
1, 432, 13999.000000
1, 432, 13980.000000
1, 432, 14003.000000
1, 430, 13937.000000
1, 430, 13969.000000
1, 430, 13939.000000
1, 430, 13893.000000
1, 429, 13872.000000
1, 428, 13867.000000
1, 427, 13833.000000
1, 427, 13823.000000
1, 426, 13795.000000
1, 425, 13794.000000
1, 424, 13777.000000
1, 424, 13744.000000
1, 424, 13922.000000
1, 423, 13727.000000
1, 423, 13719.000000
1, 422, 13696.000000
1, 420, 13645.000000
1, 418, 13617.000000
1, 417, 13606.000000
1, 416, 13546.000000
1, 415, 13540.000000
1, 414, 13514.000000
1, 412, 13453.000000
1, 411, 13427.000000
1, 410, 13428.000000
1, 410, 13399.000000
1, 406, 13312.000000
1, 404, 13267.000000
1, 404, 13269.000000
1, 404, 13267.000000
1, 403, 13232.000000
1, 401, 13195.000000
1, 400, 13212.000000
1, 400, 13159.000000
1, 400, 13173.000000
1, 399, 13133.000000
1, 399, 13190.000000
1, 398, 13111.000000
1, 397, 13088.000000
1, 395, 13087.000000
1, 394, 13039.000000
1, 394, 13051.000000
1, 393, 13088.000000
1, 393, 13005.000000
1, 392, 13028.000000
1, 392, 13016.000000
1, 390, 12943.000000
1, 389, 12979.000000
1, 389, 18386.000000
1, 388, 17819.000000
1, 384, 17370.000000
1, 383, 16753.000000
1, 383, 16317.000000
1, 383, 15953.000000
1, 382, 15620.000000
1, 382, 15267.000000
1, 382, 15098.000000
1, 381, 14637.000000
1, 380, 14453.000000
1, 380, 14294.000000
1, 379, 13992.000000
1, 378, 13844.000000
1, 378, 13652.000000
1, 377, 13550.000000
1, 377, 13331.000000
1, 377, 13133.000000
1, 377, 12982.000000
1, 377, 12981.000000
1, 377, 12788.000000
1, 376, 12656.000000
1, 376, 12702.000000
1, 376, 12643.000000
1, 375, 12693.000000
1, 373, 12580.000000
1, 372, 12610.000000
1, 371, 12546.000000
1, 370, 17401.000000
1, 370, 16964.000000
1, 370, 16613.000000
1, 368, 16094.000000
1, 368, 15680.000000
1, 367, 15398.000000
1, 367, 14989.000000
1, 366, 14745.000000
1, 366, 14514.000000
1, 364, 14170.000000
1, 363, 13952.000000
1, 362, 13678.000000
1, 362, 13601.000000
1, 362, 13366.000000
1, 361, 13144.000000
1, 360, 13144.000000
1, 359, 13431.000000
1, 357, 13137.000000
1, 357, 17243.000000
1, 357, 16168.000000
1, 357, 15634.000000
1, 357, 15294.000000
1, 355, 14912.000000
1, 355, 14453.000000
1, 355, 14199.000000
1, 355, 13668.000000
1, 353, 13446.000000
1, 353, 13064.000000
1, 353, 12762.000000
1, 353, 12506.000000
1, 352, 12284.000000
1, 352, 12238.000000
1, 352, 12124.000000
1, 352, 12144.000000
1, 352, 12077.000000
1, 351, 12153.000000
1, 350, 12089.000000
1, 349, 12104.000000
1, 348, 12102.000000
1, 348, 12079.000000
1, 347, 12051.000000
1, 347, 12199.000000
1, 344, 11998.000000
1, 343, 12020.000000
1, 342, 11960.000000
1, 340, 11937.000000
1, 340, 11936.000000
1, 340, 11976.000000
1, 338, 11895.000000
1, 338, 11867.000000
1, 338, 11862.000000
1, 337, 11879.000000
1, 337, 11848.000000
1, 337, 11883.000000
1, 336, 11824.000000
1, 336, 14041.000000
1, 335, 14135.000000
1, 334, 13636.000000
1, 333, 13545.000000
1, 332, 13225.000000
1, 332, 13023.000000
1, 332, 12981.000000
1, 332, 12752.000000
1, 332, 12610.000000
1, 330, 12441.000000
1, 330, 12236.000000
1, 330, 12153.000000
1, 329, 12105.000000
1, 329, 11938.000000
1, 329, 11868.000000
1, 329, 11765.000000
1, 329, 11709.000000
1, 328, 11715.000000
1, 328, 11654.000000
1, 328, 11664.000000
1, 328, 11673.000000
1, 327, 11614.000000
1, 327, 11614.000000
1, 327, 13181.000000
1, 327, 13144.000000
1, 327, 12970.000000
1, 327, 12751.000000
1, 327, 12559.000000
1, 327, 12594.000000
1, 327, 12609.000000
1, 327, 12379.000000
1, 327, 12279.000000
1, 326, 12276.000000
1, 325, 12044.000000
1, 325, 11889.000000
1, 325, 11824.000000
1, 325, 11720.000000
1, 325, 11680.000000
1, 324, 11515.000000
1, 324, 11602.000000
1, 324, 12989.000000
1, 324, 13081.000000
1, 324, 12858.000000
1, 324, 12737.000000
1, 324, 12533.000000
1, 324, 12386.000000
1, 323, 12184.000000
1, 323, 12085.000000
1, 323, 11995.000000
1, 323, 11870.000000
1, 323, 11881.000000
1, 323, 11808.000000
1, 323, 11669.000000
1, 322, 11583.000000
1, 322, 11582.000000
1, 322, 11551.000000
1, 322, 11554.000000
1, 321, 11576.000000
1, 321, 11508.000000
1, 321, 12895.000000
1, 321, 13019.000000
1, 321, 12806.000000
1, 321, 12769.000000
1, 321, 12447.000000
1, 321, 12325.000000
1, 321, 12209.000000
1, 321, 12071.000000
1, 321, 11980.000000
1, 321, 11870.000000
1, 320, 11774.000000
1, 320, 11694.000000
1, 320, 11612.000000
1, 320, 11553.000000
1, 319, 11524.000000
1, 318, 11490.000000
1, 318, 11516.000000
1, 316, 11418.000000
1, 315, 12625.000000
1, 314, 12856.000000
1, 314, 12673.000000
1, 313, 12415.000000
1, 313, 12310.000000
1, 313, 12163.000000
1, 313, 12090.000000
1, 313, 11922.000000
1, 313, 11871.000000
1, 312, 11721.000000
1, 312, 11682.000000
1, 312, 11570.000000
1, 312, 11669.000000
1, 312, 11523.000000
1, 312, 13455.000000
1, 312, 13825.000000
1, 312, 13445.000000
1, 312, 13122.000000
1, 312, 13107.000000
1, 312, 12829.000000
1, 312, 12632.000000
1, 311, 12458.000000
1, 311, 12279.000000
1, 311, 12150.000000
1, 310, 11997.000000
1, 310, 11886.000000
1, 310, 11809.000000
1, 309, 11689.000000
1, 309, 11602.000000
1, 308, 11528.000000
1, 306, 11400.000000
1, 306, 11319.000000
1, 306, 11326.000000
1, 306, 12724.000000
1, 305, 12897.000000
1, 305, 12712.000000
1, 304, 12479.000000
1, 304, 12332.000000
1, 304, 12235.000000
1, 303, 11968.000000
1, 303, 11900.000000
1, 303, 11782.000000
1, 303, 11689.000000
1, 303, 11611.000000
1, 302, 11477.000000
1, 302, 11640.000000
1, 302, 11423.000000
1, 302, 11742.000000
1, 907, 37008.000000
1, 889, 42086.000000
1, 883, 54007.000000
1, 871, 65447.000000
1, 863, 58958.000000
1, 854, 64640.000000
1, 847, 57632.000000
1, 835, 63118.000000
1, 825, 55746.000000
1, 813, 59983.000000
1, 804, 54049.000000
1, 796, 50580.000000
1, 790, 47152.000000
1, 782, 58190.000000
1, 771, 57264.000000
1, 762, 56360.000000
1, 761, 56159.000000
1, 755, 55364.000000
1, 750, 49143.000000
1, 745, 46594.000000
1, 740, 53748.000000
1, 730, 48879.000000
1, 728, 45628.000000
1, 723, 52078.000000
1, 718, 48252.000000
1, 715, 42953.000000
1, 709, 49656.000000
1, 703, 47022.000000
1, 699, 50296.000000
1, 692, 46062.000000
1, 690, 49518.000000
1, 689, 45879.000000
1, 686, 49065.000000
1, 684, 49455.000000
1, 681, 45274.000000
1, 678, 48801.000000
1, 677, 45158.000000
1, 674, 48241.000000
1, 672, 44656.000000
1, 667, 47766.000000
