number of threads, number of stars, time elapsed
4, 0, 22072.000000
4, 0, 18214.000000
4, 0, 14739.000000
4, 0, 16094.000000
4, 0, 12945.000000
4, 0, 12297.000000
4, 0, 11864.000000
4, 0, 11437.000000
4, 0, 11152.000000
4, 0, 13467.000000
4, 0, 11040.000000
4, 0, 11221.000000
4, 0, 10916.000000
4, 0, 11612.000000
4, 0, 10526.000000
4, 0, 9811.000000
4, 0, 9352.000000
4, 0, 9013.000000
4, 0, 8584.000000
4, 0, 8746.000000
4, 0, 8825.000000
4, 0, 8929.000000
4, 0, 13533.000000
4, 0, 10641.000000
4, 0, 18612.000000
4, 0, 17475.000000
4, 0, 16381.000000
4, 0, 15523.000000
4, 0, 14439.000000
4, 0, 17283.000000
4, 0, 16567.000000
4, 0, 15890.000000
4, 0, 14893.000000
4, 0, 14164.000000
4, 0, 13461.000000
4, 0, 12983.000000
4, 0, 12398.000000
4, 0, 11951.000000
4, 0, 16711.000000
4, 0, 17801.000000
4, 0, 16603.000000
4, 0, 15566.000000
4, 0, 14942.000000
4, 0, 13973.000000
4, 0, 13249.000000
4, 0, 12658.000000
4, 0, 12272.000000
4, 0, 11661.000000
4, 0, 11352.000000
4, 0, 17170.000000
4, 0, 14927.000000
4, 0, 14001.000000
4, 0, 13605.000000
4, 0, 13071.000000
4, 0, 12254.000000
4, 0, 11812.000000
4, 0, 11471.000000
4, 0, 11077.000000
4, 0, 10798.000000
4, 0, 10454.000000
4, 0, 10049.000000
4, 0, 9757.000000
4, 0, 9653.000000
4, 0, 9347.000000
4, 0, 9112.000000
4, 0, 8841.000000
4, 0, 8757.000000
4, 0, 8811.000000
4, 0, 8865.000000
4, 0, 8999.000000
4, 0, 9212.000000
4, 0, 8749.000000
4, 0, 8841.000000
4, 0, 8897.000000
4, 0, 9126.000000
4, 0, 11219.000000
4, 822, 33351.000000
4, 805, 31985.000000
4, 792, 31091.000000
4, 780, 31045.000000
4, 765, 29549.000000
4, 748, 29190.000000
4, 742, 28886.000000
4, 729, 29119.000000
4, 719, 28264.000000
4, 708, 27037.000000
4, 696, 26839.000000
4, 689, 25984.000000
4, 680, 25893.000000
4, 667, 25041.000000
4, 661, 25671.000000
4, 654, 25017.000000
4, 646, 24040.000000
4, 630, 22666.000000
4, 623, 23135.000000
4, 614, 22885.000000
4, 603, 21749.000000
4, 591, 21643.000000
4, 588, 22259.000000
4, 584, 21677.000000
4, 576, 20086.000000
4, 571, 21490.000000
4, 567, 21398.000000
4, 563, 20771.000000
4, 559, 23456.000000
4, 558, 20616.000000
4, 556, 20456.000000
4, 551, 20076.000000
4, 546, 20006.000000
4, 542, 19748.000000
4, 538, 19893.000000
4, 534, 19341.000000
4, 533, 19316.000000
4, 526, 19505.000000
4, 521, 19168.000000
4, 517, 19238.000000
4, 510, 18756.000000
4, 508, 18774.000000
4, 507, 18724.000000
4, 503, 18576.000000
4, 501, 18345.000000
4, 497, 17934.000000
4, 493, 18395.000000
4, 488, 18526.000000
4, 482, 17221.000000
4, 478, 17719.000000
4, 477, 16792.000000
4, 475, 17693.000000
4, 471, 17058.000000
4, 469, 17458.000000
4, 467, 21910.000000
4, 462, 22874.000000
4, 458, 20409.000000
4, 455, 17872.000000
4, 452, 19064.000000
4, 450, 18347.000000
4, 445, 17388.000000
4, 444, 17142.000000
4, 440, 16620.000000
4, 439, 16387.000000
4, 434, 16223.000000
4, 430, 16068.000000
4, 428, 16026.000000
4, 422, 16573.000000
4, 421, 18795.000000
4, 420, 20668.000000
4, 417, 15976.000000
4, 415, 17727.000000
4, 414, 15720.000000
4, 411, 16527.000000
4, 409, 15664.000000
4, 409, 15988.000000
4, 405, 20310.000000
4, 403, 16276.000000
4, 401, 17040.000000
4, 398, 15506.000000
4, 396, 14626.000000
4, 393, 15014.000000
4, 393, 14734.000000
4, 391, 14759.000000
4, 389, 18265.000000
4, 387, 18631.000000
4, 386, 21254.000000
4, 386, 19583.000000
4, 385, 24189.000000
4, 384, 24675.000000
4, 381, 16606.000000
4, 381, 21692.000000
4, 380, 21568.000000
4, 378, 19906.000000
4, 378, 19462.000000
4, 376, 17556.000000
4, 374, 16549.000000
4, 374, 15169.000000
4, 373, 18043.000000
4, 372, 15029.000000
4, 372, 15559.000000
4, 370, 16901.000000
4, 370, 16235.000000
4, 365, 15615.000000
4, 363, 16366.000000
4, 362, 14896.000000
4, 361, 17658.000000
4, 361, 14826.000000
4, 360, 16309.000000
4, 359, 14516.000000
4, 357, 16629.000000
4, 355, 14191.000000
4, 354, 15125.000000
4, 354, 15677.000000
4, 354, 15366.000000
4, 352, 13794.000000
4, 350, 13268.000000
4, 350, 13672.000000
4, 347, 13800.000000
4, 347, 14878.000000
4, 346, 17824.000000
4, 346, 19222.000000
4, 345, 15007.000000
4, 342, 14706.000000
4, 339, 16202.000000
4, 339, 14210.000000
4, 337, 15748.000000
4, 336, 20466.000000
4, 336, 15833.000000
