number of threads, number of stars, time elapsed
8, 0, 24636.000000
8, 0, 19978.000000
8, 0, 15701.000000
8, 0, 17732.000000
8, 0, 14542.000000
8, 0, 12931.000000
8, 0, 12731.000000
8, 0, 12705.000000
8, 0, 11897.000000
8, 0, 11178.000000
8, 0, 10983.000000
8, 0, 10666.000000
8, 0, 10479.000000
8, 0, 10417.000000
8, 0, 9788.000000
8, 0, 9651.000000
8, 0, 9221.000000
8, 0, 9164.000000
8, 0, 9027.000000
8, 0, 16510.000000
8, 0, 12786.000000
8, 0, 12346.000000
8, 0, 11948.000000
8, 0, 11354.000000
8, 0, 10329.000000
8, 0, 10630.000000
8, 0, 10132.000000
8, 0, 10193.000000
8, 0, 10378.000000
8, 0, 9545.000000
8, 0, 9229.000000
8, 0, 9245.000000
8, 0, 11749.000000
8, 0, 11541.000000
8, 0, 11922.000000
8, 0, 11320.000000
8, 0, 12508.000000
8, 0, 12717.000000
8, 0, 11214.000000
8, 0, 9005.000000
8, 0, 10075.000000
8, 0, 9753.000000
8, 0, 9061.000000
8, 0, 8772.000000
8, 0, 8796.000000
8, 0, 8836.000000
8, 0, 8818.000000
8, 0, 9085.000000
8, 688, 33252.000000
8, 678, 28239.000000
8, 671, 26797.000000
8, 664, 24159.000000
8, 655, 23990.000000
8, 649, 23683.000000
8, 643, 22818.000000
8, 635, 22699.000000
8, 628, 22168.000000
8, 618, 21523.000000
8, 611, 22058.000000
8, 607, 21638.000000
8, 602, 20677.000000
8, 589, 20702.000000
8, 581, 20483.000000
8, 576, 20863.000000
8, 567, 20046.000000
8, 561, 20077.000000
8, 557, 25831.000000
8, 551, 27936.000000
8, 545, 23905.000000
8, 538, 21075.000000
8, 535, 19847.000000
8, 528, 18686.000000
8, 523, 18335.000000
8, 519, 26888.000000
8, 513, 24998.000000
8, 508, 21180.000000
8, 506, 19423.000000
8, 500, 18734.000000
8, 496, 24972.000000
8, 494, 18536.000000
8, 491, 26416.000000
8, 485, 23461.000000
8, 482, 25577.000000
8, 476, 23281.000000
8, 475, 22472.000000
8, 471, 21732.000000
8, 468, 20789.000000
8, 466, 26590.000000
8, 465, 20726.000000
8, 461, 27199.000000
8, 459, 32463.000000
8, 453, 31427.000000
8, 451, 28867.000000
8, 449, 27267.000000
8, 447, 27027.000000
8, 446, 25713.000000
8, 445, 23686.000000
8, 442, 22871.000000
8, 440, 28230.000000
8, 439, 22201.000000
8, 434, 19465.000000
8, 431, 25153.000000
8, 427, 19917.000000
8, 425, 20799.000000
8, 424, 24005.000000
8, 418, 26360.000000
8, 416, 22289.000000
8, 412, 23223.000000
8, 409, 26654.000000
8, 406, 27644.000000
8, 405, 20218.000000
8, 403, 19368.000000
8, 402, 27868.000000
8, 401, 19203.000000
8, 400, 21712.000000
8, 399, 19108.000000
8, 399, 17728.000000
8, 395, 16629.000000
8, 392, 15515.000000
8, 391, 16261.000000
8, 390, 16717.000000
8, 389, 15325.000000
8, 388, 17593.000000
8, 385, 14390.000000
8, 385, 14826.000000
8, 385, 14406.000000
8, 383, 14522.000000
8, 380, 14545.000000
8, 380, 14966.000000
8, 379, 14271.000000
8, 378, 15086.000000
8, 376, 13829.000000
8, 375, 14703.000000
8, 374, 14375.000000
8, 374, 14295.000000
8, 372, 15931.000000
8, 369, 15775.000000
8, 367, 17631.000000
8, 367, 14337.000000
8, 367, 16545.000000
8, 367, 14682.000000
8, 365, 16541.000000
8, 363, 13771.000000
8, 363, 14413.000000
8, 362, 14178.000000
8, 360, 14001.000000
8, 357, 13484.000000
8, 356, 13687.000000
8, 354, 15819.000000
8, 354, 13930.000000
8, 353, 20993.000000
8, 353, 14108.000000
8, 352, 13391.000000
8, 351, 13200.000000
8, 351, 14212.000000
8, 350, 13778.000000
8, 349, 13336.000000
8, 348, 13848.000000
8, 348, 13321.000000
8, 348, 13471.000000
8, 348, 13741.000000
8, 347, 16735.000000
8, 347, 17485.000000
8, 347, 18659.000000
8, 346, 15512.000000
8, 346, 14114.000000
8, 346, 14045.000000
8, 345, 13907.000000
8, 344, 19126.000000
8, 343, 15522.000000
8, 343, 14481.000000
8, 343, 14004.000000
8, 341, 13660.000000
8, 339, 13277.000000
8, 338, 14236.000000
8, 337, 15463.000000
8, 337, 14829.000000
8, 336, 24165.000000
8, 335, 23085.000000
8, 335, 18929.000000
8, 334, 20747.000000
8, 334, 24430.000000
8, 332, 20512.000000
8, 332, 23711.000000
8, 332, 19463.000000
8, 330, 23878.000000
8, 328, 22110.000000
8, 328, 17737.000000
8, 328, 23820.000000
8, 325, 16290.000000
8, 325, 15610.000000
8, 324, 15157.000000
8, 323, 14797.000000
8, 320, 14137.000000
8, 319, 13519.000000
8, 318, 13570.000000
8, 317, 13280.000000
8, 317, 13626.000000
8, 317, 13085.000000
8, 315, 13348.000000
8, 314, 13539.000000
8, 312, 12920.000000
8, 312, 14324.000000
8, 312, 15100.000000
8, 312, 14969.000000
8, 312, 14306.000000
8, 311, 13976.000000
8, 311, 14656.000000
8, 311, 13768.000000
8, 309, 14022.000000
8, 308, 13370.000000
8, 308, 14302.000000
8, 304, 13273.000000
8, 304, 13104.000000
8, 303, 13756.000000
8, 302, 12983.000000
8, 302, 13124.000000
8, 300, 15198.000000
8, 300, 15279.000000
8, 299, 14016.000000
8, 298, 15035.000000
8, 296, 13923.000000
8, 296, 14040.000000
8, 294, 14436.000000
8, 294, 22795.000000
8, 293, 12496.000000
8, 291, 12322.000000
8, 291, 17914.000000
8, 290, 20945.000000
8, 290, 22018.000000
8, 290, 18640.000000
8, 290, 18077.000000
8, 290, 16038.000000
8, 289, 15192.000000
8, 289, 15315.000000
8, 288, 14825.000000
8, 288, 13850.000000
8, 287, 13668.000000
8, 286, 13372.000000
8, 286, 13207.000000
8, 286, 13106.000000
8, 286, 12339.000000
8, 284, 12224.000000
8, 283, 11974.000000
8, 281, 11836.000000
8, 281, 11889.000000
8, 281, 11506.000000
8, 281, 11948.000000
8, 281, 11707.000000
8, 280, 11826.000000
8, 280, 11486.000000
8, 279, 11819.000000
8, 276, 12401.000000
8, 275, 11849.000000
8, 274, 11780.000000
8, 274, 11468.000000
8, 274, 11603.000000
8, 274, 11847.000000
8, 273, 11629.000000
8, 272, 11212.000000
8, 272, 12071.000000
8, 272, 11648.000000
