number of threads, number of stars, time elapsed
2, 0, 22046.000000
2, 0, 18194.000000
2, 0, 14140.000000
2, 0, 16262.000000
2, 0, 12617.000000
2, 0, 11985.000000
2, 0, 11649.000000
2, 0, 11154.000000
2, 0, 10816.000000
2, 0, 10485.000000
2, 0, 10160.000000
2, 0, 9907.000000
2, 0, 9681.000000
2, 0, 9460.000000
2, 0, 9268.000000
2, 0, 8983.000000
2, 0, 8842.000000
2, 0, 8733.000000
2, 0, 8539.000000
2, 0, 8352.000000
2, 0, 8348.000000
2, 0, 8357.000000
2, 0, 8319.000000
2, 0, 8314.000000
2, 0, 8315.000000
2, 0, 8311.000000
2, 0, 8314.000000
2, 0, 8315.000000
2, 0, 8330.000000
2, 0, 8311.000000
2, 0, 8334.000000
2, 0, 8305.000000
2, 0, 8317.000000
2, 0, 8325.000000
2, 0, 8369.000000
2, 0, 8342.000000
2, 0, 8343.000000
2, 0, 8321.000000
2, 0, 8323.000000
2, 0, 8323.000000
2, 0, 8314.000000
2, 0, 8309.000000
2, 0, 8318.000000
2, 0, 8327.000000
2, 0, 8324.000000
2, 0, 8348.000000
2, 0, 8317.000000
2, 0, 8320.000000
2, 0, 8315.000000
2, 0, 8327.000000
2, 0, 8317.000000
2, 0, 8322.000000
2, 0, 8329.000000
2, 0, 8319.000000
2, 0, 8331.000000
2, 0, 8329.000000
2, 0, 8323.000000
2, 0, 8327.000000
2, 0, 8350.000000
2, 0, 8342.000000
2, 0, 8322.000000
2, 0, 8320.000000
2, 0, 8316.000000
2, 0, 8324.000000
2, 0, 8316.000000
2, 0, 8318.000000
2, 0, 8322.000000
2, 0, 8330.000000
2, 0, 8323.000000
2, 0, 8329.000000
2, 0, 8420.000000
2, 0, 8421.000000
2, 0, 8372.000000
2, 0, 8389.000000
2, 0, 8384.000000
2, 0, 8385.000000
2, 0, 8353.000000
2, 0, 8364.000000
2, 0, 8360.000000
2, 0, 8367.000000
2, 0, 8357.000000
2, 0, 8363.000000
2, 0, 8354.000000
2, 0, 8342.000000
2, 0, 8397.000000
2, 0, 8359.000000
2, 0, 8346.000000
2, 0, 8366.000000
2, 0, 8412.000000
2, 0, 8598.000000
2, 0, 8354.000000
2, 0, 8345.000000
2, 0, 8315.000000
2, 0, 8317.000000
2, 0, 8319.000000
2, 0, 8339.000000
2, 0, 8355.000000
2, 0, 8370.000000
2, 0, 8349.000000
2, 0, 8360.000000
2, 0, 8363.000000
2, 0, 8349.000000
2, 0, 8355.000000
2, 0, 8383.000000
2, 0, 11365.000000
2, 0, 8431.000000
2, 0, 8362.000000
2, 0, 8358.000000
2, 0, 8358.000000
2, 0, 8348.000000
2, 0, 8349.000000
2, 0, 8361.000000
2, 0, 8500.000000
2, 0, 8378.000000
2, 0, 8418.000000
2, 0, 8354.000000
2, 0, 8351.000000
2, 0, 8379.000000
2, 0, 8359.000000
2, 0, 8347.000000
2, 0, 8360.000000
2, 0, 8357.000000
2, 0, 8343.000000
2, 0, 8358.000000
2, 0, 8358.000000
2, 0, 8367.000000
2, 0, 8371.000000
2, 0, 8337.000000
2, 0, 8336.000000
2, 0, 8369.000000
2, 0, 8352.000000
2, 0, 8341.000000
2, 0, 8343.000000
2, 0, 8352.000000
2, 0, 8354.000000
2, 0, 8366.000000
2, 0, 8346.000000
2, 0, 8338.000000
2, 0, 8352.000000
2, 0, 8349.000000
2, 0, 8346.000000
2, 0, 8353.000000
2, 0, 8344.000000
2, 0, 8339.000000
2, 0, 8351.000000
2, 0, 8359.000000
2, 0, 8358.000000
2, 0, 8356.000000
2, 0, 8327.000000
2, 0, 8313.000000
2, 0, 8306.000000
2, 0, 8330.000000
2, 0, 8310.000000
2, 0, 8501.000000
2, 0, 8318.000000
2, 0, 8311.000000
2, 0, 8345.000000
2, 0, 8361.000000
2, 0, 8326.000000
