number of threads, number of stars, time elapsed
8, 0, 20.000000
8, 0, 16.000000
8, 0, 13.000000
8, 0, 15.000000
8, 0, 12.000000
8, 0, 11.000000
8, 0, 12.000000
8, 0, 10.000000
8, 0, 11.000000
8, 0, 10.000000
8, 0, 10.000000
8, 0, 9.000000
8, 0, 8.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 8.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 8.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 8.000000
8, 0, 8.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 8.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 8.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 8.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 8.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 8.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 8.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 8.000000
8, 0, 9.000000
8, 0, 9.000000
8, 0, 8.000000
8, 0, 9.000000
8, 0, 16.000000
8, 0, 15.000000
8, 0, 14.000000
8, 0, 14.000000
8, 0, 13.000000
8, 0, 13.000000
8, 0, 11.000000
8, 0, 13.000000
8, 0, 19.000000
8, 0, 17.000000
8, 0, 17.000000
8, 0, 16.000000
8, 0, 15.000000
8, 0, 17.000000
8, 0, 13.000000
8, 0, 11.000000
8, 0, 10.000000
8, 0, 11.000000
8, 0, 18.000000
8, 0, 16.000000
8, 0, 17.000000
8, 0, 17.000000
8, 0, 19.000000
8, 0, 17.000000
8, 0, 18.000000
8, 0, 18.000000
8, 0, 18.000000
8, 875, 31.000000
8, 859, 29.000000
8, 851, 25.000000
8, 839, 25.000000
8, 830, 23.000000
